Level,ResourceType,ResourceCount,LevelLimit,CHGValue_UseMP,CHGValue_SkillDuration,CHGValue_DMG_PhysicalPower_Physical
0,Gold,100000,1,10,20,100
1,Dia,50,1,20,21,10.5
2,Gold,140000,1,30,20,11
3,Gold,160000,1,40,5.3,11.5
4,Gold,180000,1,50,5.4,12
5,Gold,200000,21,60,5.5,12.5
6,Gold,220000,21,70,5.6,13
7,Gold,240000,21,80,5.7,13.5
8,Gold,260000,21,90,5.8,14
9,Gold,300000,21,100,5.9,14.5
10,Gold,350000,51,110,6,15
11,Gold,400000,51,120,6.1,15.5
12,Gold,450000,51,130,6.2,16
13,Gold,500000,51,140,6.3,16.5
14,Gold,550000,51,150,6.4,17
15,Gold,600000,71,160,6.5,17.5
16,Gold,700000,71,170,6.6,18
17,Gold,800000,71,180,6.7,18.5
18,Gold,900000,71,190,6.8,19
19,Gold,1000000,71,200,6.9,19.5
20,Gold,1500000,71,210,7,20